Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Month
Josh Hart,SF,28,NYK,43,6,28.1,2.8,6.5,0.436,0.9,2.8,0.319,2.0,3.7,0.522,0.504,0.7,0.8,0.806,1.3,5.2,6.4,2.7,0.8,0.2,1.2,1.9,7.2,01-2024
Isaiah Hartenstein,C,25,NYK,43,17,25.6,2.6,4.3,0.605,0.0,0.1,0.333,2.6,4.2,0.61,0.608,1.4,2.0,0.694,3.3,5.2,8.5,2.0,1.2,1.1,1.2,2.9,6.6,01-2024
Sam Hauser,SF,26,BOS,43,5,21.8,2.8,6.4,0.437,2.2,5.5,0.403,0.6,0.9,0.641,0.61,0.3,0.3,0.846,0.7,2.9,3.7,1.0,0.4,0.3,0.5,1.4,8.1,01-2024
Jordan Hawkins,SG,21,NOP,39,10,21.8,3.6,8.7,0.415,2.2,5.7,0.394,1.4,3.1,0.454,0.543,1.4,1.7,0.836,0.6,2.2,2.8,1.4,0.4,0.1,0.8,1.5,10.9,01-2024
Jaxson Hayes,C,23,LAL,36,1,9.5,1.2,1.8,0.662,0.0,0.1,0.0,1.2,1.7,0.717,0.662,0.4,0.8,0.536,0.4,1.2,1.7,0.3,0.2,0.3,0.5,1.8,2.8,01-2024
Killian Hayes,PG,22,DET,39,29,24.5,2.9,7.0,0.412,0.5,1.8,0.286,2.4,5.2,0.455,0.449,0.8,1.3,0.66,0.3,2.6,2.8,4.9,0.9,0.5,1.2,1.8,7.1,01-2024
Gordon Hayward,SF,33,CHO,25,25,31.9,5.6,11.9,0.468,0.9,2.4,0.361,4.7,9.4,0.496,0.505,2.5,3.2,0.765,1.0,3.7,4.7,4.6,1.1,0.5,2.0,1.8,14.5,01-2024
Scoot Henderson,PG,19,POR,35,15,27.2,4.5,12.2,0.364,1.2,4.0,0.291,3.3,8.2,0.401,0.412,2.3,3.0,0.762,0.9,2.1,3.0,4.7,0.6,0.2,3.2,3.1,12.4,01-2024
Taylor Hendricks,PF,20,UTA,13,0,13.9,1.8,4.5,0.397,0.9,2.7,0.343,0.8,1.8,0.478,0.5,0.5,0.6,0.75,0.8,1.4,2.2,0.5,0.7,0.5,0.7,0.9,4.9,01-2024
Tyler Herro,SG,24,MIA,25,25,34.2,8.2,18.7,0.438,3.2,8.1,0.399,5.0,10.6,0.468,0.525,2.2,2.6,0.848,0.6,5.0,5.6,4.1,1.1,0.1,2.5,1.6,21.9,01-2024
Buddy Hield,SF,31,IND,44,23,26.1,4.6,10.4,0.444,2.8,7.3,0.389,1.8,3.2,0.571,0.58,0.6,0.8,0.848,0.7,2.6,3.3,2.6,0.8,0.6,1.3,2.0,12.7,01-2024
